movie,actor
1/2的魔法,克里斯普瑞特
1/2的魔法,奧塔薇亞史班森
1/2的魔法,湯姆霍蘭德
TENET天能,米高肯恩
TENET天能,約翰大衛華盛頓
TENET天能,羅伯派汀森
你的鳥兒會唱歌,柄本佑
你的鳥兒會唱歌,染谷將太
你的鳥兒會唱歌,石橋靜河
北非諜影,亨佛萊鮑嘉
北非諜影,英格麗褒曼
吞噬,海莉班奈特
壞教育,休傑克曼
壞教育,艾莉森珍妮
夜半歌聲（數位修復版）,吳倩蓮
夜半歌聲（數位修復版）,張國榮
奪魂索,寶拉德爾里奧
奪魂索,米格爾安吉拉詹納
婚姻大崩壞,威爾法洛
婚姻大崩壞,米蘭妲奧圖
少年PI的奇幻漂流,伊凡甘
少年PI的奇幻漂流,傑哈德．巴狄厄
少年PI的奇幻漂流,羅菲史波
少年PI的奇幻漂流,蘇瑞吉．沙瑪
巴黎寂寞不打烊,安娜吉拉朵
巴黎寂寞不打烊,法蘭斯席維爾
弒婚遊戲,亞當布洛迪
弒婚遊戲,安蒂麥道威爾
弒婚遊戲,薩瑪拉薇文
弒婚遊戲,馬克歐布萊恩
影裏,松田龍平
影裏,綾野剛
惡棍英雄：死侍,莫蓮娜芭卡琳
惡棍英雄：死侍,萊恩雷諾斯
抽屍剝繭,潔絲娜佛里茲鲍爾
抽屍剝繭,莫里茲布雷多
捕魔網,琳雪伊
捕魔網,蘭妲米契爾
搭火車旅行好吃驚,佩拉卡斯楚
搭火車旅行好吃驚,艾那斯多艾戴理歐
搭火車旅行好吃驚,路易托薩
明信片謀殺案,傑佛瑞狄恩摩根
明信片謀殺案,庫什珍寶
明信片謀殺案,芬姬詹森
最瘋狂的旅程,司徒頌曦
最瘋狂的旅程,嘉柏莉西迪貝
最瘋狂的旅程,拉維派特
最瘋狂的旅程,格蘭羅森邁爾
末代皇帝（數位修復版）,坂本龍一
末代皇帝（數位修復版）,尊龍
末代皇帝（數位修復版）,陳沖
永不放棄：詹姆斯艾利森,詹姆斯艾利森
海綿寶寶：奔跑吧,克蘭西布朗
海綿寶寶：奔跑吧,基努李維
海綿寶寶：奔跑吧,比爾法格巴克
海綿寶寶：奔跑吧,湯姆肯尼
海邊走走,喬許歐康納
海邊走走,安妮特班寧
海邊走走,比爾奈伊
深海擴散,妙麗克菲爾德
深海擴散,康妮尼爾森
深海擴散,道格瑞史考特
烈火情人,傑瑞米艾倫斯
烈火情人,茱麗葉畢諾許
犬犬風塵,
當愛再來的時候,安娜伊・德慕絲提
當愛再來的時候,尚皮耶・達胡桑
當愛再來的時候,愛莉安・艾絲柯莉德
白髮魔女傳,張國榮
白髮魔女傳,林青霞
神力女超人1984,克里斯潘恩
神力女超人1984,蓋兒加朵
絕地救援,克莉絲汀薇格
絕地救援,潔西卡雀絲坦
絕地救援,賽巴斯汀史坦
絕地救援,麥特戴蒙
罪人的控訴,亞歷珊卓瑪麗亞羅納
罪人的控訴,埃利亞斯穆巴里克
罪人的控訴,海納勞特巴赫
羅根,休傑克曼
羅根,派屈克史都華
美好拾光公司,丹尼爾奧圖
美好拾光公司,吉翁卡列
花木蘭,劉亦菲
花木蘭,李連杰
花木蘭,甄子丹
花木蘭,鞏俐
蚵豐村,喜翔
蚵豐村,林禹緒
蚵豐村,陳莘太
蝙蝠俠：開戰時刻,克里斯多福諾蘭
蝙蝠俠：開戰時刻,克里斯汀貝爾
蝙蝠俠：開戰時刻,凱蒂荷姆絲
蝙蝠俠：開戰時刻,摩根費里曼
蝙蝠俠：開戰時刻,米高肯恩
蝙蝠俠：開戰時刻,蓋瑞歐德曼
蝙蝠俠：開戰時刻,連恩尼遜
見鬼的戀愛季節,沛派琳丹拉帕彭
見鬼的戀愛季節,馬力歐莫瑞爾
親愛陌生人,佛洛里昂大衛費茲
親愛陌生人,埃利亞斯穆巴里克
謝謝你愛過我,托比華勒斯
謝謝你愛過我,班曼德森
謝謝你愛過我,艾絲戴維斯
謝謝你愛過我,艾莉莎斯坎倫
變種人,亨利札加
變種人,安雅泰勒喬伊
變種人,布露亨特
變種人,查理希頓
變種人,麥茜威廉士
金魚俱樂部,湯姆希林
金魚俱樂部,貝吉特米妮克美爾
金魚俱樂部,露易莎沃蕾許
銀翼殺手最終版,哈里遜福特
銀翼殺手最終版,西恩楊
靠北少女,LilyFranky
靠北少女,佐藤健
靠北少女,吉澤亮
靠北少女,堤真一
靠北少女,妻夫木聰
靠北少女,廣瀨鈴
黑暗騎士,克里斯汀貝爾
黑暗騎士,希斯萊傑
黑暗騎士,摩根費里曼
黑暗騎士,米高肯恩
黑暗騎士,蓋瑞歐德曼
黑暗騎士：黎明昇起,克里斯汀貝爾
黑暗騎士：黎明昇起,喬瑟夫高登李維
黑暗騎士：黎明昇起,安海瑟威
黑暗騎士：黎明昇起,摩根費里曼
黑暗騎士：黎明昇起,湯姆哈迪
黑暗騎士：黎明昇起,瑪莉詠柯蒂亞
黑暗騎士：黎明昇起,米高肯恩
黑暗騎士：黎明昇起,蓋瑞歐德曼
