title,theater,location,ting
1/2的魔法,國賓大戲院,台北市成都路88號,2廳
1/2的魔法,國賓大戲院,台北市成都路88號,3廳
1/2的魔法,國賓影城@中和環球購物中心,新北市中和區中山路三段122號4樓,4廳
1/2的魔法,國賓影城@中和環球購物中心,新北市中和區中山路三段122號4樓,5廳
1/2的魔法,國賓影城@中和環球購物中心,新北市中和區中山路三段122號4樓,7廳
1/2的魔法,國賓影城@八德廣豐新天地,桃園市八德區介壽路一段728號,7廳
1/2的魔法,國賓影城@八德廣豐新天地,桃園市八德區介壽路一段728號,8廳
1/2的魔法,國賓影城@台北微風廣場,台北市復興南路一段39號7樓,3廳
1/2的魔法,國賓影城@台北微風廣場,台北市復興南路一段39號7樓,5廳
1/2的魔法,國賓影城@台北長春廣場,台北市中山區長春路176號,6廳
1/2的魔法,國賓影城@台北長春廣場,台北市中山區長春路176號,8廳
1/2的魔法,國賓影城@台南國賓廣場,台南市中華東路一段66號,D廳
1/2的魔法,國賓影城@台南國賓廣場,台南市中華東路一段66號,E廳
1/2的魔法,國賓影城@屏東環球購物中心,屏東市仁愛路90號6樓,1廳
1/2的魔法,國賓影城@屏東環球購物中心,屏東市仁愛路90號6樓,4廳
1/2的魔法,國賓影城@屏東環球購物中心,屏東市仁愛路90號6樓,6廳
1/2的魔法,國賓影城@新莊晶冠廣場,新北市新莊區五工路66號3樓,1廳
1/2的魔法,國賓影城@新莊晶冠廣場,新北市新莊區五工路66號3樓,2廳
1/2的魔法,國賓影城@新莊晶冠廣場,新北市新莊區五工路66號3樓,8廳
1/2的魔法,國賓影城@林口昕境廣場,新北市林口區文化三路一段402巷2號4F,5廳
1/2的魔法,國賓影城@林口昕境廣場,新北市林口區文化三路一段402巷2號4F,6廳
1/2的魔法,國賓影城@淡水禮萊廣場,新北市淡水區中正路一段2號,4廳
1/2的魔法,國賓影城@淡水禮萊廣場,新北市淡水區中正路一段2號,6廳
1/2的魔法,國賓影城@金門昇恆昌金湖廣場,金門縣金湖鎮太湖路二段198號6樓,5廳
1/2的魔法,國賓影城@高雄大魯閣草衙道,高雄市前鎮區中山四路100號3樓,5廳
1/2的魔法,國賓影城@高雄大魯閣草衙道,高雄市前鎮區中山四路100號3樓,9廳
1/2的魔法,國賓影城@高雄義大世界,高雄市大樹區學城路一段12號3樓,4廳
1/2的魔法,國賓影城@高雄義大世界,高雄市大樹區學城路一段12號3樓,5廳
你的鳥兒會唱歌,國賓影城@台北長春廣場,台北市中山區長春路176號,12廳
吞噬,國賓影城@台北長春廣場,台北市中山區長春路176號,11廳
壞教育,國賓影城@台北微風廣場,台北市復興南路一段39號7樓,3廳
壞教育,國賓影城@台北微風廣場,台北市復興南路一段39號7樓,6廳
壞教育,國賓影城@台北長春廣場,台北市中山區長春路176號,10廳
壞教育,國賓影城@台南國賓廣場,台南市中華東路一段66號,7廳
奪魂索,國賓影城@中和環球購物中心,新北市中和區中山路三段122號4樓,5廳
奪魂索,國賓影城@中和環球購物中心,新北市中和區中山路三段122號4樓,7廳
奪魂索,國賓影城@八德廣豐新天地,桃園市八德區介壽路一段728號,5廳
奪魂索,國賓影城@台南國賓廣場,台南市中華東路一段66號,C廳
奪魂索,國賓影城@屏東環球購物中心,屏東市仁愛路90號6樓,4廳
奪魂索,國賓影城@新莊晶冠廣場,新北市新莊區五工路66號3樓,7廳
奪魂索,國賓影城@林口昕境廣場,新北市林口區文化三路一段402巷2號4F,4廳
奪魂索,國賓影城@淡水禮萊廣場,新北市淡水區中正路一段2號,5廳
奪魂索,國賓影城@金門昇恆昌金湖廣場,金門縣金湖鎮太湖路二段198號6樓,3廳
奪魂索,國賓影城@金門昇恆昌金湖廣場,金門縣金湖鎮太湖路二段198號6樓,5廳
奪魂索,國賓影城@金門昇恆昌金湖廣場,金門縣金湖鎮太湖路二段198號6樓,6廳
奪魂索,國賓影城@高雄大魯閣草衙道,高雄市前鎮區中山四路100號3樓,5廳
奪魂索,國賓影城@高雄大魯閣草衙道,高雄市前鎮區中山四路100號3樓,6廳
奪魂索,國賓影城@高雄義大世界,高雄市大樹區學城路一段12號3樓,4廳
奪魂索,國賓影城@高雄義大世界,高雄市大樹區學城路一段12號3樓,7廳
巴黎寂寞不打烊,國賓影城@台北長春廣場,台北市中山區長春路176號,5廳
抽屍剝繭,國賓影城@中和環球購物中心,新北市中和區中山路三段122號4樓,6廳
抽屍剝繭,國賓影城@八德廣豐新天地,桃園市八德區介壽路一段728號,6廳
抽屍剝繭,國賓影城@台北長春廣場,台北市中山區長春路176號,3廳
抽屍剝繭,國賓影城@台南國賓廣場,台南市中華東路一段66號,6廳
抽屍剝繭,國賓影城@高雄大魯閣草衙道,高雄市前鎮區中山四路100號3樓,4廳
搭火車旅行好吃驚,國賓影城@台北長春廣場,台北市中山區長春路176號,11廳
末代皇帝（數位修復版）,國賓影城@台北微風廣場,台北市復興南路一段39號7樓,3廳
末代皇帝（數位修復版）,國賓影城@台北微風廣場,台北市復興南路一段39號7樓,6廳
末代皇帝（數位修復版）,國賓影城@台北長春廣場,台北市中山區長春路176號,4廳
末代皇帝（數位修復版）,國賓影城@台北長春廣場,台北市中山區長春路176號,9廳
永不放棄：詹姆斯艾利森,國賓影城@台北長春廣場,台北市中山區長春路176號,12廳
永不放棄：詹姆斯艾利森,國賓影城@台北長春廣場,台北市中山區長春路176號,3廳
海邊走走,國賓影城@台北長春廣場,台北市中山區長春路176號,13廳
海邊走走,國賓影城@台北長春廣場,台北市中山區長春路176號,3廳
海邊走走,國賓影城@台北長春廣場,台北市中山區長春路176號,6廳
當愛再來的時候,國賓影城@台北長春廣場,台北市中山區長春路176號,12廳
白髮魔女傳,國賓影城@台北長春廣場,台北市中山區長春路176號,11廳
罪人的控訴,國賓影城@台北長春廣場,台北市中山區長春路176號,2廳
美好拾光公司,國賓影城@台北長春廣場,台北市中山區長春路176號,13廳
蝙蝠俠：開戰時刻,國賓大戲院,台北市成都路88號,1廳
蝙蝠俠：開戰時刻,國賓大戲院,台北市成都路88號,3廳
蝙蝠俠：開戰時刻,國賓影城@中和環球購物中心,新北市中和區中山路三段122號4樓,2廳
蝙蝠俠：開戰時刻,國賓影城@中和環球購物中心,新北市中和區中山路三段122號4樓,5廳
蝙蝠俠：開戰時刻,國賓影城@八德廣豐新天地,桃園市八德區介壽路一段728號,1廳
蝙蝠俠：開戰時刻,國賓影城@八德廣豐新天地,桃園市八德區介壽路一段728號,5廳
蝙蝠俠：開戰時刻,國賓影城@台北微風廣場,台北市復興南路一段39號7樓,2廳
蝙蝠俠：開戰時刻,國賓影城@台北微風廣場,台北市復興南路一段39號7樓,6廳
蝙蝠俠：開戰時刻,國賓影城@台北長春廣場,台北市中山區長春路176號,1廳
蝙蝠俠：開戰時刻,國賓影城@台北長春廣場,台北市中山區長春路176號,8廳
蝙蝠俠：開戰時刻,國賓影城@台南國賓廣場,台南市中華東路一段66號,A廳
蝙蝠俠：開戰時刻,國賓影城@台南國賓廣場,台南市中華東路一段66號,B廳
蝙蝠俠：開戰時刻,國賓影城@台南國賓廣場,台南市中華東路一段66號,C廳
蝙蝠俠：開戰時刻,國賓影城@台南國賓廣場,台南市中華東路一段66號,D廳
蝙蝠俠：開戰時刻,國賓影城@屏東環球購物中心,屏東市仁愛路90號6樓,1廳
蝙蝠俠：開戰時刻,國賓影城@屏東環球購物中心,屏東市仁愛路90號6樓,3廳
蝙蝠俠：開戰時刻,國賓影城@屏東環球購物中心,屏東市仁愛路90號6樓,6廳
蝙蝠俠：開戰時刻,國賓影城@新莊晶冠廣場,新北市新莊區五工路66號3樓,6廳
蝙蝠俠：開戰時刻,國賓影城@新莊晶冠廣場,新北市新莊區五工路66號3樓,9廳
蝙蝠俠：開戰時刻,國賓影城@林口昕境廣場,新北市林口區文化三路一段402巷2號4F,7廳
蝙蝠俠：開戰時刻,國賓影城@淡水禮萊廣場,新北市淡水區中正路一段2號,1廳
蝙蝠俠：開戰時刻,國賓影城@淡水禮萊廣場,新北市淡水區中正路一段2號,6廳
蝙蝠俠：開戰時刻,國賓影城@金門昇恆昌金湖廣場,金門縣金湖鎮太湖路二段198號6樓,1廳
蝙蝠俠：開戰時刻,國賓影城@金門昇恆昌金湖廣場,金門縣金湖鎮太湖路二段198號6樓,3廳
蝙蝠俠：開戰時刻,國賓影城@高雄大魯閣草衙道,高雄市前鎮區中山四路100號3樓,10廳
蝙蝠俠：開戰時刻,國賓影城@高雄大魯閣草衙道,高雄市前鎮區中山四路100號3樓,1廳
蝙蝠俠：開戰時刻,國賓影城@高雄大魯閣草衙道,高雄市前鎮區中山四路100號3樓,3廳
蝙蝠俠：開戰時刻,國賓影城@高雄大魯閣草衙道,高雄市前鎮區中山四路100號3樓,8廳
蝙蝠俠：開戰時刻,國賓影城@高雄義大世界,高雄市大樹區學城路一段12號3樓,5廳
蝙蝠俠：開戰時刻,國賓影城@高雄義大世界,高雄市大樹區學城路一段12號3樓,6廳
蝙蝠俠：開戰時刻,國賓影城@高雄義大世界,高雄市大樹區學城路一段12號3樓,A廳
見鬼的戀愛季節,國賓影城@中和環球購物中心,新北市中和區中山路三段122號4樓,6廳
見鬼的戀愛季節,國賓影城@中和環球購物中心,新北市中和區中山路三段122號4樓,7廳
見鬼的戀愛季節,國賓影城@八德廣豐新天地,桃園市八德區介壽路一段728號,6廳
見鬼的戀愛季節,國賓影城@台北長春廣場,台北市中山區長春路176號,11廳
